transaction_id,user_id,date,merchant,amount,category_detail,category_primary,payment_method,payment_media
TXN000065,USR005,2024-08-17 23:09:59,Bath & Body Works,226500.0,self_care,Wants,Debit,BRI
TXN000066,USR003,2023-04-15 11:57:43,Wardah,126500.0,self_care,Wants,Transfer,OVO
TXN000067,USR027,2023-03-01 11:38:46,Booking.com,2498000.0,travel,Wants,Credit Card,Mandiri
TXN000068,USR058,2023-12-29 19:54:48,Figma,96500.0,education,Wants,Transfer,BSI
TXN000069,USR016,2023-01-07 06:31:09,Kimia Farma,83000.0,health,Needs,Credit Card,BCA
TXN000070,USR050,2023-06-01 20:21:28,Udemy,280500.0,education,Wants,Transfer,BRI
TXN000071,USR045,2023-07-08 05:15:03,Carrefour,211000.0,groceries,Needs,QRIS,BNI
TXN000072,USR011,2024-02-19 05:19:36,Nasi Goreng Pak Nasir,90000.0,food,Needs,QRIS,LinkAja
TXN000073,USR056,2023-09-09 23:40:39,Indomaret,317000.0,groceries,Needs,Cash,Cash
TXN000074,USR069,2024-12-26 04:25:03,Ajaib,385000.0,investment,Investment,Transfer,BSI
TXN000075,USR059,2024-10-03 16:39:22,Google One Storage,50000.0,education,Wants,QRIS,ShopeePay
TXN000076,USR072,2023-01-20 21:17:08,Garuda Indonesia,2107000.0,travel,Wants,QRIS,ShopeePay
TXN000077,USR075,2023-01-29 06:22:46,Skill Academy,229500.0,education,Wants,Transfer,OVO
TXN000078,USR028,2023-05-05 22:38:03,Somethinc,82500.0,self_care,Wants,Debit,BNI
TXN000079,USR030,2023-10-22 14:37:44,Pluang,871500.0,investment,Investment,Transfer,Mandiri
TXN000080,USR065,2023-02-10 01:39:57,Alfamart,92500.0,groceries,Needs,Cash,Cash
TXN000081,USR071,2023-07-26 14:23:25,Pintu Crypto,370000.0,investment,Investment,Transfer,LinkAja
TXN000082,USR067,2024-11-04 18:41:33,Vidio,88000.0,entertainment,Wants,Transfer,Gopay
TXN000083,USR038,2023-09-19 13:26:42,iPot,1024500.0,investment,Investment,Transfer,OVO
TXN000084,USR070,2023-11-14 16:07:26,BPJS Kesehatan,194000.0,utilities,Needs,Debit,BCA
TXN000085,USR066,2024-10-08 07:54:09,New Balance,464500.0,shopping,Wants,Credit Card,BRI
TXN000086,USR050,2023-03-17 04:37:19,Mumuso,256000.0,shopping,Wants,Transfer,BNI
TXN000087,USR050,2024-12-27 20:51:39,Cotton On,461500.0,shopping,Wants,QRIS,LinkAja
TXN000088,USR036,2024-02-28 16:15:00,Maxim,45500.0,transport,Needs,Cash,Cash
TXN000089,USR028,2023-03-05 17:21:37,Tiket.com,1322000.0,travel,Wants,Transfer,BNI
TXN000090,USR021,2024-08-19 22:32:45,Apple Music,113500.0,entertainment,Wants,Debit,BTN
TXN000091,USR013,2023-03-25 16:33:02,Tokocrypto,509500.0,investment,Investment,Transfer,Jenius
TXN000092,USR017,2023-11-16 13:08:18,Kimia Farma,225000.0,health,Needs,Credit Card,CIMB Niaga
TXN000093,USR012,2024-03-31 08:40:47,Bakso,113500.0,food,Needs,Cash,Cash
TXN000094,USR067,2023-04-01 04:17:16,Lion Air,2044500.0,travel,Wants,Debit,Jenius
TXN000095,USR041,2023-04-18 01:01:22,Scarlett Whitening,296500.0,self_care,Wants,Credit Card,Citibank
TXN000096,USR073,2023-03-25 16:53:20,Smartfren,207500.0,utilities,Needs,QRIS,BCA
TXN000097,USR021,2024-10-14 00:29:59,Fit Hub,196000.0,health,Needs,Transfer,Mandiri
TXN000098,USR039,2023-10-18 01:30:46,Zenius,151500.0,education,Wants,QRIS,BRI
TXN000099,USR057,2024-01-12 10:44:47,Subway,43000.0,food,Needs,QRIS,DANA
TXN000100,USR040,2023-03-20 00:49:10,Shopee,220000.0,shopping,Wants,Transfer,BSI
TXN000101,USR066,2023-08-02 00:02:32,Converse,870000.0,shopping,Wants,Credit Card,Standard Chartered
TXN000102,USR010,2024-08-02 20:37:16,Gojek,49000.0,transport,Needs,Debit,BNI
TXN000103,USR034,2023-10-10 02:13:02,Pintu Crypto,485000.0,investment,Investment,Transfer,OVO
TXN000104,USR059,2023-05-15 15:54:08,Mobile Legends,157000.0,entertainment,Wants,QRIS,BRI
TXN000106,USR014,2023-08-02 05:42:34,Matahari,585000.0,shopping,Wants,QRIS,OVO
TXN000107,USR019,2023-02-08 12:16:12,PDAM,368500.0,utilities,Needs,Transfer,Gopay
TXN000108,USR031,2023-06-06 23:44:30,Tiket.com,868000.0,travel,Wants,Credit Card,CIMB Niaga
TXN000109,USR067,2023-05-10 04:24:06,iPot,1823500.0,investment,Investment,QRIS,ShopeePay
TXN000110,USR029,2024-04-01 03:49:41,Grab,22000.0,transport,Needs,Debit,Mandiri
TXN000111,USR065,2024-01-26 08:57:26,The Body Shop,436500.0,self_care,Wants,Credit Card,Standard Chartered
TXN000112,USR057,2024-10-14 16:50:11,Halodoc,534000.0,health,Needs,QRIS,Mandiri
TXN000113,USR054,2024-01-20 11:00:23,Lion Air,2475500.0,travel,Wants,Transfer,CIMB Niaga
TXN000114,USR053,2023-07-19 09:51:00,iCloud Storage,105500.0,utilities,Needs,Debit,CIMB Niaga
TXN000115,USR027,2024-12-13 22:03:25,Figma,138000.0,education,Wants,QRIS,Mandiri
TXN000116,USR050,2024-05-27 22:36:10,J.CO Donuts,8000.0,food,Needs,QRIS,DANA
TXN000117,USR012,2023-06-29 12:28:57,Carrefour,32000.0,groceries,Needs,Cash,Cash
TXN000118,USR020,2023-03-08 16:10:49,OYO,1387500.0,travel,Wants,Credit Card,Citibank
TXN000119,USR068,2023-07-03 14:11:46,BPJS Kesehatan,398000.0,utilities,Needs,Debit,BRI
TXN000120,USR057,2024-04-01 15:28:08,MyXL,320000.0,utilities,Needs,Credit Card,Standard Chartered
TXN000122,USR064,2023-06-11 04:12:03,PDAM,346500.0,utilities,Needs,Transfer,DANA
TXN000123,USR039,2024-07-19 09:13:07,iCloud Storage,285500.0,utilities,Needs,Debit,Jenius
TXN000124,USR008,2024-04-08 21:33:16,Pepper Lunch,102500.0,food,Needs,Cash,Cash
TXN000125,USR013,2024-12-18 01:33:15,Janji Jiwa,104000.0,food,Needs,QRIS,ShopeePay
TXN000126,USR016,2023-02-27 23:22:28,Nintendo eShop,103000.0,entertainment,Wants,Credit Card,Citibank
TXN000127,USR038,2024-09-11 15:40:24,Stockbit,236000.0,investment,Investment,Transfer,Mandiri
TXN000128,USR009,2023-04-14 01:49:07,KAI Kereta Api,1196000.0,travel,Wants,Credit Card,BRI
TXN000129,USR015,2024-09-21 15:27:34,WeTV,80500.0,entertainment,Wants,Transfer,OVO
TXN000130,USR057,2023-10-12 01:47:24,Spotify,197000.0,entertainment,Wants,Credit Card,Standard Chartered
TXN000131,USR046,2023-05-04 13:21:00,CGV Cinemas,181000.0,entertainment,Wants,Debit,BRI
TXN000132,USR075,2023-10-13 13:06:07,Vans,718500.0,shopping,Wants,Debit,Mandiri
TXN000133,USR040,2023-01-02 22:16:45,MyXL,71500.0,utilities,Needs,Cash,Cash
TXN000134,USR074,2023-12-29 18:14:36,Santika Hotel,1894500.0,travel,Wants,Credit Card,BCA
TXN000135,USR021,2024-02-04 14:02:36,YouTube Premium,25500.0,entertainment,Wants,Transfer,LinkAja
TXN000136,USR065,2023-06-09 01:27:33,Bakso,11000.0,food,Needs,Transfer,Jenius
TXN000137,USR020,2023-01-17 18:32:31,Valorant,21500.0,entertainment,Wants,Debit,Mandiri
TXN000138,USR061,2024-06-03 16:49:18,Apple Music,145000.0,entertainment,Wants,QRIS,OVO
TXN000139,USR048,2024-03-30 17:50:26,Janji Jiwa,65000.0,food,Needs,Transfer,BSI
TXN000140,USR010,2024-04-06 04:05:21,Dufan,193000.0,entertainment,Wants,Transfer,ShopeePay
TXN000141,USR045,2024-04-10 04:48:41,Tiket.com,482500.0,travel,Wants,Credit Card,Standard Chartered
TXN000142,USR034,2023-06-25 05:40:36,RedDoorz,590500.0,travel,Wants,Transfer,BCA
TXN000143,USR051,2023-02-19 17:12:48,Damri,74000.0,transport,Needs,Transfer,BCA
TXN000144,USR043,2023-09-20 18:18:05,Transjakarta,16500.0,transport,Needs,QRIS,ShopeePay
TXN000145,USR019,2023-09-14 11:40:02,Tabungan BRI,450500.0,investment,Investment,Credit Card,BRI
TXN000146,USR072,2023-01-06 21:59:26,KAI Kereta Api,1497000.0,travel,Wants,Credit Card,Standard Chartered
TXN000147,USR030,2024-03-24 03:39:07,Cult Fitness,446000.0,health,Needs,Cash,Cash
TXN000148,USR068,2023-03-14 09:18:21,Tabungan BRI,301500.0,investment,Investment,Debit,Mandiri
TXN000149,USR045,2023-02-24 22:45:46,Skintific,24500.0,self_care,Wants,Debit,BNI
TXN000150,USR018,2024-06-11 21:12:09,Google One Storage,309500.0,education,Wants,Transfer,OVO
TXN000151,USR045,2023-10-30 15:15:53,FamilyMart,312500.0,groceries,Needs,QRIS,DANA
TXN000152,USR068,2024-05-03 07:12:00,Barbershop,359000.0,self_care,Wants,Debit,BRI
TXN000153,USR040,2024-03-30 15:18:28,Genshin Impact,59000.0,entertainment,Wants,Credit Card,BCA
TXN000154,USR018,2023-10-03 05:51:12,Shopee,106000.0,shopping,Wants,Transfer,Jenius
TXN000155,USR051,2023-07-06 12:36:13,LRT Jakarta,10000.0,transport,Needs,QRIS,BCA
TXN000156,USR005,2024-04-29 18:27:05,Booking.com,1608000.0,travel,Wants,Credit Card,BNI
TXN000157,USR043,2023-07-07 05:14:00,MyXL,253500.0,utilities,Needs,Transfer,OVO
TXN000158,USR026,2024-07-20 01:11:16,Vans,799500.0,shopping,Wants,Transfer,Mandiri
TXN000159,USR012,2023-07-26 03:25:54,Sociolla,220500.0,self_care,Wants,Transfer,Mandiri
TXN000160,USR031,2024-03-22 18:39:21,Roblox,162500.0,entertainment,Wants,Debit,Jenius
TXN000161,USR075,2023-03-31 20:48:33,Waxing Center,253500.0,self_care,Wants,QRIS,DANA
TXN000162,USR051,2023-01-29 22:05:35,Fit Hub,190500.0,health,Needs,Debit,BCA
TXN000164,USR025,2024-08-13 16:47:22,Miniso,703500.0,shopping,Wants,QRIS,OVO
TXN000165,USR019,2024-01-24 01:44:09,YouTube Premium,133000.0,entertainment,Wants,Debit,BNI
TXN000166,USR066,2024-09-12 20:02:26,iPot,1276000.0,investment,Investment,Transfer,Gopay
TXN000167,USR069,2023-05-26 19:11:23,Valorant,48000.0,entertainment,Wants,QRIS,BCA
TXN000168,USR042,2023-05-09 00:01:00,Adobe Creative Cloud,175000.0,education,Wants,Transfer,OVO
TXN000169,USR070,2023-01-05 00:13:17,MyXL,235500.0,utilities,Needs,QRIS,Gopay
TXN000170,USR049,2023-01-04 12:48:18,Ruangguru,404000.0,education,Wants,Transfer,Jenius
TXN000171,USR022,2024-01-14 03:14:00,PDAM,24000.0,utilities,Needs,QRIS,OVO
TXN000172,USR062,2023-07-10 16:21:35,CFC,54000.0,food,Needs,QRIS,ShopeePay
TXN000173,USR026,2023-04-02 20:48:45,Mie Gacoan,116500.0,food,Needs,QRIS,DANA
TXN000174,USR037,2024-11-22 00:17:37,YouTube Premium,22500.0,entertainment,Wants,Transfer,BCA
TXN000175,USR049,2023-12-18 19:38:06,Bibit,1813500.0,investment,Investment,QRIS,BCA
TXN000176,USR020,2024-08-05 10:44:32,Zenius,148000.0,education,Wants,Transfer,OVO
TXN000177,USR043,2023-03-24 13:36:30,Timezone,188000.0,entertainment,Wants,Debit,BRI
TXN000178,USR045,2024-05-08 01:10:07,Ajaib,827500.0,investment,Investment,Transfer,DANA
TXN000179,USR026,2023-04-16 12:24:11,Figma,470000.0,education,Wants,Debit,Mandiri
TXN000180,USR071,2024-06-30 09:39:13,Sociolla,179500.0,self_care,Wants,Transfer,ShopeePay
TXN000181,USR033,2023-07-12 12:14:32,Farmers Market,62500.0,groceries,Needs,Cash,Cash
TXN000182,USR015,2024-08-25 11:38:00,Adobe Creative Cloud,195000.0,education,Wants,Transfer,BSI
TXN000183,USR075,2023-08-04 20:29:57,Sport Station,755500.0,shopping,Wants,Transfer,ShopeePay
TXN000185,USR058,2023-10-23 21:56:16,Fore Coffee,72000.0,food,Needs,QRIS,Mandiri
TXN000186,USR041,2023-01-15 09:10:25,Bareksa,1108000.0,investment,Investment,Transfer,ShopeePay
TXN000187,USR055,2023-02-03 22:48:56,Erigo,662000.0,shopping,Wants,QRIS,ShopeePay
TXN000188,USR056,2024-12-18 19:57:30,Klinik Pratama,592000.0,health,Needs,QRIS,Mandiri
TXN000189,USR025,2023-11-05 22:08:24,Alfamidi,159500.0,groceries,Needs,Transfer,BNI
TXN000190,USR018,2024-10-05 06:54:01,Skintific,104000.0,self_care,Wants,Debit,BCA
TXN000191,USR003,2024-12-04 23:46:02,Yoshinoya,71000.0,food,Needs,QRIS,BCA
TXN000192,USR068,2023-01-17 17:35:42,PDAM,282500.0,utilities,Needs,QRIS,Mandiri
TXN000193,USR066,2024-04-03 06:21:15,Alodokter,597500.0,health,Needs,QRIS,BRI
TXN000194,USR067,2023-03-04 01:35:18,RedDoorz,1338000.0,travel,Wants,Transfer,LinkAja
TXN000196,USR019,2024-06-05 02:20:04,Luxcrime,156000.0,self_care,Wants,QRIS,BNI
TXN000197,USR018,2023-02-28 08:48:13,Mie Gacoan,82500.0,food,Needs,Transfer,CIMB Niaga
TXN000198,USR042,2023-05-16 03:25:14,TikTok Shop,419000.0,shopping,Wants,Credit Card,Standard Chartered
TXN000199,USR031,2024-06-25 03:28:35,Ayam Geprek,111500.0,food,Needs,Debit,Jenius
TXN000200,USR018,2024-12-31 18:40:05,Klinik Pratama,63500.0,health,Needs,QRIS,OVO
TXN000201,USR055,2023-08-20 06:58:57,First Media,182500.0,utilities,Needs,Cash,Cash
TXN000202,USR063,2023-10-09 18:49:13,Gorengan,84000.0,food,Needs,QRIS,ShopeePay
TXN000203,USR029,2024-08-24 03:33:08,KRL Commuter,49500.0,transport,Needs,Credit Card,Standard Chartered
TXN000204,USR057,2023-05-07 11:58:39,Prodia Lab,528000.0,health,Needs,Credit Card,BRI
TXN000205,USR007,2023-07-22 11:48:42,MyTelkomsel,360500.0,utilities,Needs,QRIS,LinkAja
TXN000206,USR021,2024-04-25 00:46:36,Netflix,94000.0,entertainment,Wants,Transfer,LinkAja
TXN000207,USR017,2023-03-27 16:24:00,Tabungan BRI,852000.0,investment,Investment,Transfer,BSI
TXN000208,USR059,2023-07-27 16:38:52,iCloud Storage,274000.0,utilities,Needs,QRIS,OVO
TXN000209,USR063,2024-09-28 19:56:22,Lion Air,2141500.0,travel,Wants,Transfer,BNI
TXN000210,USR009,2023-10-28 16:12:17,Pull & Bear,165000.0,shopping,Wants,Debit,Mandiri
TXN000211,USR052,2024-12-20 18:15:28,Free Fire,30000.0,entertainment,Wants,QRIS,OVO
TXN000212,USR015,2024-10-21 08:06:03,Biznet,30500.0,utilities,Needs,Transfer,DANA
TXN000213,USR060,2024-08-19 07:39:35,Citilink,2393500.0,travel,Wants,Transfer,Gopay
TXN000214,USR053,2023-01-26 15:15:14,Santika Hotel,1694000.0,travel,Wants,Credit Card,CIMB Niaga
TXN000215,USR021,2024-11-28 05:22:43,Apotek K24,350500.0,health,Needs,QRIS,Gopay
TXN000216,USR072,2024-11-20 12:33:25,Timezone,53500.0,entertainment,Wants,Credit Card,Standard Chartered
TXN000217,USR038,2023-08-21 01:17:54,Uniqlo,659000.0,shopping,Wants,Credit Card,BRI
TXN000218,USR044,2024-11-06 05:43:42,Garuda Indonesia,1914500.0,travel,Wants,Credit Card,Citibank
TXN000219,USR033,2023-04-06 02:18:42,Vivo Gas Station,30000.0,transport,Needs,Debit,BCA
TXN000220,USR052,2023-02-18 22:24:40,Lion Air,1318500.0,travel,Wants,Credit Card,BNI
TXN000221,USR026,2023-11-30 23:16:20,Guardian,443000.0,health,Needs,Debit,Jenius
TXN000222,USR070,2024-09-17 14:39:19,Canva Pro,209500.0,education,Wants,Transfer,ShopeePay
TXN000223,USR001,2023-05-09 00:10:10,Alfamidi,79500.0,groceries,Needs,Cash,Cash
TXN000224,USR045,2024-09-03 15:24:06,Valorant,116000.0,entertainment,Wants,QRIS,BRI
TXN000225,USR025,2023-05-04 06:46:00,Airbnb,1529500.0,travel,Wants,QRIS,LinkAja
TXN000226,USR069,2023-09-27 16:28:33,Klinik Pratama,24000.0,health,Needs,Transfer,Jenius
TXN000227,USR030,2023-01-14 19:35:08,New Balance,485000.0,shopping,Wants,Debit,CIMB Niaga
TXN000228,USR036,2023-10-10 06:06:56,MyTelkomsel,113000.0,utilities,Needs,Transfer,DANA
TXN000229,USR055,2024-03-29 19:46:40,Stockbit,1293500.0,investment,Investment,Debit,BCA
TXN000230,USR053,2024-09-17 18:00:45,Klinik Pratama,201000.0,health,Needs,Debit,BSI
TXN000231,USR031,2023-03-06 14:50:21,Total Parco,33500.0,transport,Needs,Debit,Jenius
TXN000232,USR051,2023-04-04 17:13:53,Watson,477000.0,health,Needs,Transfer,Jenius
TXN000233,USR038,2023-09-27 05:46:23,MyXL,349500.0,utilities,Needs,QRIS,BCA
TXN000234,USR002,2024-04-18 20:42:13,Kimia Farma,24000.0,health,Needs,QRIS,OVO
TXN000235,USR031,2024-02-24 04:46:09,Parkir Mall,60000.0,transport,Needs,Debit,BCA
TXN000236,USR034,2024-04-29 20:20:03,Giant,339500.0,groceries,Needs,Credit Card,BCA
TXN000237,USR059,2023-08-01 04:16:04,Matahari,488000.0,shopping,Wants,QRIS,LinkAja
TXN000238,USR039,2024-07-15 10:03:24,Mie Gacoan,44000.0,food,Needs,Transfer,BSI
TXN000239,USR052,2024-12-27 01:41:55,Bibit,690000.0,investment,Investment,Transfer,Mandiri
TXN000240,USR016,2023-05-13 02:24:24,Bareksa,580500.0,investment,Investment,Transfer,ShopeePay
TXN000241,USR037,2023-08-05 02:15:26,MyXL,186500.0,health,Needs,QRIS,ShopeePay
TXN000242,USR063,2023-05-25 16:32:39,Gojek,27500.0,transport,Needs,Debit,BNI
TXN000243,USR053,2024-07-19 07:39:59,MyPertamina,33000.0,transport,Needs,QRIS,ShopeePay
TXN000244,USR067,2024-05-18 08:38:30,Fit Hub,479000.0,health,Needs,Transfer,CIMB Niaga
TXN000245,USR052,2023-07-29 00:34:47,PlayStation Store,169500.0,entertainment,Wants,QRIS,Gopay
TXN000246,USR039,2023-04-25 02:48:08,inDrive,18000.0,transport,Needs,Credit Card,Standard Chartered
TXN000247,USR026,2024-05-02 22:37:23,Skill Academy,479000.0,education,Wants,Credit Card,CIMB Niaga
TXN000249,USR074,2024-03-13 17:09:00,Cotton On,687500.0,shopping,Wants,Credit Card,BCA
TXN000250,USR015,2023-01-21 19:11:17,Total Parco,14000.0,transport,Needs,Debit,CIMB Niaga
TXN000251,USR062,2024-10-06 16:40:57,Circle K,329000.0,groceries,Needs,QRIS,LinkAja
TXN000252,USR032,2024-11-19 04:04:48,Pluang,262500.0,investment,Investment,Debit,Jenius
TXN000253,USR004,2024-06-12 08:51:14,Pintu Crypto,1379000.0,investment,Investment,Transfer,BCA
TXN000254,USR063,2024-03-07 13:55:16,Nail Studio,284500.0,self_care,Wants,Transfer,LinkAja
TXN000255,USR035,2024-12-23 05:56:26,Traveloka,493500.0,travel,Wants,Cash,Cash
TXN000256,USR024,2023-08-25 18:18:46,MyXL,40000.0,utilities,Needs,Cash,Cash
TXN000257,USR032,2024-09-05 01:07:29,Gojek,45500.0,transport,Needs,Cash,Cash
TXN000258,USR045,2024-08-18 01:14:53,Ranch Market,295500.0,groceries,Needs,Debit,BCA
TXN000259,USR005,2024-01-14 19:26:24,Gojek,13000.0,transport,Needs,Debit,Mandiri
TXN000260,USR048,2023-11-29 17:05:16,Guardian,210500.0,health,Needs,Debit,CIMB Niaga
TXN000261,USR015,2024-10-02 15:59:37,Traveloka,1524500.0,travel,Wants,Debit,BSI
TXN000262,USR020,2023-07-18 21:28:40,MyTelkomsel,333500.0,utilities,Needs,Transfer,Gopay
TXN000263,USR036,2022-12-27 18:16:08,Halodoc,242500.0,health,Needs,Debit,BTN
TXN000264,USR027,2024-06-09 07:21:20,Shopee,474000.0,shopping,Wants,Transfer,Jenius
TXN000265,USR032,2024-09-26 20:58:16,CGV Cinemas,66500.0,entertainment,Wants,Transfer,Mandiri
TXN000266,USR074,2024-07-12 23:40:55,SPA Reflexology,213500.0,self_care,Wants,Transfer,Jenius
TXN000268,USR046,2024-04-01 00:58:55,Matahari,417000.0,shopping,Wants,Debit,BCA
TXN000269,USR068,2024-06-23 20:58:09,Garuda Indonesia,2119500.0,travel,Wants,Credit Card,BCA
TXN000270,USR028,2024-09-30 06:00:31,Disney+,62000.0,entertainment,Wants,Transfer,BNI
TXN000271,USR047,2024-06-24 13:50:42,Canva Pro,90500.0,education,Wants,Debit,BNI
TXN000272,USR033,2024-02-25 15:40:34,Gorengan,90000.0,food,Needs,Debit,BSI
TXN000273,USR042,2024-05-06 18:33:52,Steam,105000.0,entertainment,Wants,Credit Card,BCA
TXN000275,USR063,2024-03-18 03:11:38,Airbnb,705000.0,travel,Wants,Credit Card,CIMB Niaga
TXN000277,USR042,2024-08-06 04:29:04,Skill Academy,78000.0,education,Wants,Cash,Cash
TXN000278,USR072,2023-06-11 00:13:27,Kimia Farma,171500.0,health,Needs,Transfer,CIMB Niaga
